Task Description,Amount
Client workshop in Silicon Valley,"$2,400"
Sales training in Dubai during peak tourist season,"$2,700"
Research trip to remote part of Norway (booked last-minute),"$3,500"
Conference in New York with weekend travel,"$3,000"
Team building event in Colorado,"$2,200"
Marketing tour across Asia (planned and pre-approved),"$9,500"
Strategy retreat in the Swiss Alps during winter,"$2,400"
Field research in Amazon rainforest (urgent and rainy season),"$3,000"
Trade show participation in Florida during hurricane season,"$3,500"
Executive meeting in London during a bank holiday weekend,"$3,500"
Development workshop in Tokyo during Golden Week,"$2,550"
Client visit to manufacturing site in Germany,"$2,800"
"Product launch prep in California, planned one month in advance","$7,500"
Annual review meeting in Singapore,"$2,300"
Investor roadshow in multiple US cities (urgent and pre-approved),"$10,500"
Site survey for new plant in Iceland during winter,"$3,800"
Negotiation meeting in high-risk area in Middle East (urgent),"$6,000"
Workshop in Las Vegas during a major conference,"$3,000"
Client meeting in Paris during Fashion Week,"$3,200"
Engineering team offsite in remote Alaska in January,"$5,000"
Business development trip to new markets in Africa,"$2,400"
Product testing in the Sahara Desert during summer,"$3,800"
Quarterly executive strategy meeting in Hawaii,"$4,000"
Humanitarian aid project in a high-risk area,"$6,000"
Internal training session in New York City over a holiday weekend,"$2,800"
